Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
Cream,AttuneDilut,Sensitivity-first,FALSE,6 Hours,5.66,0.9667,no range,—,2,6,8,NA,"Geo 1, Geo 3, AF 5, AF 8",NA,FALSE
Cream,AttuneDilut,Sensitivity-first,FALSE,12 Hours,5.66,1,no range,—,3,7,8,NA,"Geo 2, Geo 3, AF 5, AF 7",NA,FALSE
Cream,AttuneDilut,Sensitivity-first,FALSE,24 Hours,5.66,1,no range,—,4,7,8,NA,"Geo 3, AF 5, AF 6",NA,FALSE
Cream,AttuneDilut,Sensitivity-first,FALSE,48 Hours,5.66,1,no range,—,1,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Best Accuracy,FALSE,6 Hours,5.66,0.875,no range,—,0,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Best Accuracy,FALSE,12 Hours,5.66,0.9167,no range,—,0,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Best Accuracy,FALSE,24 Hours,5.66,0.9375,no range,—,1,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Best Accuracy,FALSE,48 Hours,5.66,0.9375,no range,—,3,8,8,NA,"Geo 3, Geo 4, AF 5, AF 6, AF 7",NA,FALSE
Whipping Cream,Charm,Youden J,TRUE,12 Hours,0.88,0.675,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Youden J,TRUE,24 Hours,0.88,0.975,no range above floor,—,4,8,8,NA,"Geo 3, Geo 4, AF 5, AF 8",NA,FALSE
Whipping Cream,Charm,Youden J,TRUE,48 Hours,0.88,0.75,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Youden J,TRUE,72 Hours,0.88,0.5667,no range above floor,—,6,8,8,NA,"AF 5, AF 7",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,TRUE,12 Hours,0.88,0.675,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Sensitivity-first,TRUE,24 Hours,0.88,0.975,no range above floor,—,4,8,8,NA,"Geo 3, Geo 4, AF 5, AF 8",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,TRUE,48 Hours,0.88,0.75,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Sensitivity-first,TRUE,72 Hours,0.88,0.5667,no range above floor,—,6,8,8,NA,"AF 5, AF 7",NA,FALSE
Whipping Cream,Charm,Best Accuracy,TRUE,12 Hours,0.88,0.8125,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Best Accuracy,TRUE,24 Hours,0.88,0.9792,no range above floor,—,4,8,8,NA,"Geo 3, Geo 4, AF 5, AF 8",NA,FALSE
Whipping Cream,Charm,Best Accuracy,TRUE,48 Hours,0.88,0.7917,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Whipping Cream,Charm,Best Accuracy,TRUE,72 Hours,0.88,0.6667,no range above floor,—,6,8,8,NA,"AF 5, AF 7",NA,FALSE
Whipping Cream,Charm,Youden J,FALSE,12 Hours,0.88,0.875,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 8",NA,FALSE
Whipping Cream,Charm,Youden J,FALSE,24 Hours,0.88,0.975,no range,—,4,8,8,NA,"Geo 3, Geo 4, AF 5, AF 8",NA,FALSE
Whipping Cream,Charm,Youden J,FALSE,48 Hours,0.88,0.95,no range,—,2,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 7, AF 8",NA,FALSE
Whipping Cream,Charm,Youden J,FALSE,72 Hours,0.88,0.8083,no range,—,2,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 7",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,FALSE,12 Hours,0.88,1,no range,—,0,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,FALSE,24 Hours,0.88,1,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 8",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,FALSE,48 Hours,0.88,1,no range,—,1,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Whipping Cream,Charm,Sensitivity-first,FALSE,72 Hours,0.88,1,no range,—,3,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 7",NA,FALSE
Whipping Cream,Charm,Best Accuracy,FALSE,12 Hours,0.88,0.9583,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 8",NA,FALSE
Whipping Cream,Charm,Best Accuracy,FALSE,24 Hours,0.88,0.9792,no range,—,4,8,8,NA,"Geo 3, Geo 4, AF 5, AF 8",NA,FALSE
