Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Cream,Charm,48 Hours,1.4,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1.5,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1.6,0.2062,1,1,0.2417,0.8125,0.3542,0.5583,0.2062,0.3527,0.2063
Cream,Charm,48 Hours,1.7,0.175,1,1,0.2333,0.8125,0.3333,0.6111,0.175,0.3648,0.175
Cream,Charm,48 Hours,1.8,0.175,1,1,0.2333,0.8125,0.3333,0.6111,0.175,0.3648,0.175
Cream,Charm,48 Hours,1.9,0.125,1,1,0.2167,0.8125,0.2917,0.4722,0.125,0.2824,0.125
Cream,Charm,48 Hours,2,0.125,1,1,0.2167,0.8125,0.2917,0.4722,0.125,0.2824,0.125
Cream,Charm,48 Hours,2.1,0.1,1,1,0.2062,0.8125,0.2708,0.4127,0.1,0.2387,0.1
Cream,Charm,48 Hours,2.2,0.1,1,1,0.2062,0.8125,0.2708,0.4127,0.1,0.2387,0.1
Cream,Charm,48 Hours,2.3,0.1,1,1,0.2062,0.8125,0.2708,0.4127,0.1,0.2387,0.1
Cream,Charm,48 Hours,2.4,0.075,1,1,0.2021,0.8125,0.25,0.4524,0.075,0.2581,0.075
Cream,Charm,48 Hours,2.5,0.075,1,1,0.2021,0.8125,0.25,0.4524,0.075,0.2581,0.075
Cream,Charm,48 Hours,2.6,0.075,1,1,0.2021,0.8125,0.25,0.4524,0.075,0.2581,0.075
Cream,Charm,48 Hours,2.7,0.05,1,1,0.1979,0.8125,0.2292,0.5714,0.05,0.3162,0.05
Cream,Charm,48 Hours,2.8,0.05,1,1,0.1979,0.8125,0.2292,0.5714,0.05,0.3162,0.05
Cream,Charm,48 Hours,2.9,0.025,1,1,0.1917,0.8125,0.2083,0.3333,0.025,0.2,0.025
Cream,Charm,48 Hours,3,0.025,1,1,0.1917,0.8125,0.2083,0.3333,0.025,0.2,0.025
Cream,Charm,48 Hours,3.1,0,1,NA,0.1875,0.8125,0.1875,NA,0,NA,0
Cream,AttuneDilut,6 Hours,3,0.9667,0.1875,0.6208,0.75,0.5833,0.6042,0.8842,0.5958,0.6325,0.2167
Cream,AttuneDilut,6 Hours,3.1,0.9667,0.1875,0.6208,0.75,0.5833,0.6042,0.8842,0.5958,0.6325,0.2167
